"ID","PID","Titel","Sleutelwoorden"
"MB_1.2","MB_1","Rekenen",
"MB_1.2.1","MB_1.2","Bewerkingen",
"MB_1.2.1.1","MB_1.2.1","Optellen",
"MB_1.2.1.2","MB_1.2.1","Aftrekken",
"MB_1.2.1.3","MB_1.2.1","Vermenigvuldigen",
"MB_1.2.1.4","MB_1.2.1","Delen",
"MB_1.2.1.5","MB_1.2.1","Worteltrekken",
"MB_1.2.1.6","MB_1.2.1","Faculteit",
"MB_1.2.1.7","MB_1.2.1","Ontbinden in factoren",
"MB_1.2.1.8","MB_1.2.1","Eigenschappen van bewerkingen",
"MB_1.2.1.9","MB_1.2.1","Schatten",
"MB_1.2.2","MB_1.2","Breuken",
"MB_1.2.2.1","MB_1.2.2","Optellen",
"MB_1.2.2.2","MB_1.2.2","Aftrekken",
"MB_1.2.2.3","MB_1.2.2","Vermenigvuldigen",
"MB_1.2.2.4","MB_1.2.2","Delen",
"MB_1.2.2.5","MB_1.2.2","Verhouding en evenredigheid",
"MB_1.2.2.6","MB_1.2.2","Gelijkwaardige breuken",
"MB_1.2.2.6.2","MB_1.2.2.6","Breuken gelijknamig maken",
"MB_1.2.3","MB_1.2","Decimale breuken",
"MB_1.2.3.1","MB_1.2.3","Optellen",
"MB_1.2.3.2","MB_1.2.3","Aftrekken",
"MB_1.2.3.3","MB_1.2.3","Vermenigvuldigen",
"MB_1.2.3.4","MB_1.2.3","Delen",
"MB_1.2.3.5","MB_1.2.3","Procenten",
"MB_1.2.4","MB_1.2","Vergelijking van getallen",
"MB_1.2.5","MB_1.2","Exponenten",
"MB_1.2.5.1","MB_1.2.5","Vermenigvuldiging",
"MB_1.2.5.2","MB_1.2.5","Delen",
"MB_1.2.5.3","MB_1.2.5","Machten",
"MB_1.2.5.4","MB_1.2.5","Gehele exponenten",
"MB_1.2.5.4.1","MB_1.2.5.4","Negatieve exponenten",
"MB_1.2.5.5","MB_1.2.5","Rationale exponenten",
"MB_1.2.5.5.1","MB_1.2.5.5","Wortels op standaardvorm",
"MB_1.2.5*1","MB_1.2","Complexe getallen",
"MB_1.2.5*1.1","MB_1.2.5*1","Canonieke vorm",
"MB_1.2.5*1.2","MB_1.2.5*1","Optellen en aftrekken",
"MB_1.2.5*1.3","MB_1.2.5*1","Vermenigvuldigen",
"MB_1.2.5*1.4","MB_1.2.5*1","Delen",
"MB_1.2.5*1.5","MB_1.2.5*1","Conjugeren",
"MB_1.2.5*1.6","MB_1.2.5*1","Modulus",
"MB_1.2.5*1.7","MB_1.2.5*1","Argument",
"MB_1.2.5*1.8","MB_1.2.5*1","Polaire vorm",
"MB_1.2.5*1.9","MB_1.2.5*1","Formule van Euler",
"MB_1.3","MB_1","Patronen en rijen",
"MB_1.3.1","MB_1.3","Getalpatronen",
"MB_1.3.1*1","MB_1.3","Rijen",
"MB_1.3.1*1.1","MB_1.3.1*1","Recursief gedefinieerde rijen",
"MB_1.3.1*1.1.1","MB_1.3.1*1.1","Bepalen van algemene formule",
"MB_1.3.1*1.1.2","MB_1.3.1*1.1","Rekenkundige rij",
"MB_1.3.1*1.1.3","MB_1.3.1*1.1","Meetkundige rij",
"MB_1.3.1*1.1.4","MB_1.3.1*1.1","Rij van Fibonacci",
"MB_1.3.1*1.2","MB_1.3.1*1","Som van een rij",
"MB_1.3.1*1.2.1","MB_1.3.1*1.2","Sigma-teken",
"MB_1.3.2","MB_1.3","Rij van Fibonacci",
"MB_1.3.3","MB_1.3","Rekenkundige reeks",
"MB_1.3.4","MB_1.3","Meetkundige reeks",
"MB_1.4","MB_1","Grootheden en eenheden",
"MB_1.4.1","MB_1.4","Eenheden",
"MB_1.4.1.1","MB_1.4.1","Metrisch systeem",
"MB_1.4.1.2","MB_1.4.1","Standaard eenheden",
"MB_1.4.1.3","MB_1.4.1","Niet-standaard eenheden",
"MB_1.4.10","MB_1.4","Schaal",
"MB_1.4.2","MB_1.4","Eendimensionale grootheden",
"MB_1.4.2.1","MB_1.4.2","Afstand",
"MB_1.4.2.2","MB_1.4.2","Omtrek van een cirkel",
"MB_1.4.2.3","MB_1.4.2","Omtrek algemeen",
"MB_1.4.3","MB_1.4","Oppervlakte",
"MB_1.4.3.1","MB_1.4.3","Oppervlakte van een veelhoek",
"MB_1.4.3.2","MB_1.4.3","Oppervlakte van een cirkel",
"MB_1.4.3.3","MB_1.4.3","Oppervlakte van een gebied",
"MB_1.4.3.4","MB_1.4.3","Niet-standaard vormen",
"MB_1.4.4","MB_1.4","Volume",
"MB_1.4.5","MB_1.4","Gewicht en massa",
"MB_1.4.6","MB_1.4","Temperatuur",
"MB_1.4.7","MB_1.4","Tijd",
"MB_1.4.8","MB_1.4","Snelheid",
"MB_1.4.9","MB_1.4","Geld",
"MB_10","MB_0","Toegepaste wiskunde",
"MB_10.1","MB_10","Natuurkunde",
"MB_10.10","MB_10","Consumenten",
"MB_10.2","MB_10","Economie",
"MB_10.3","MB_10","Biologie",
"MB_10.4","MB_10","Bedrijfskunde",
"MB_10.5","MB_10","Techniek en engineering",
"MB_10.6","MB_10","Sociologie",
"MB_10.7","MB_10","Maatschappijwetenschappen",
"MB_10.8","MB_10","Informatica",
"MB_10.9","MB_10","Menswetenschappen",
"MB_11","MB_0","Geschiedenis van de wiskunde",
"MB_11.1","MB_11","Algemeen",
"MB_11.2","MB_11","Beroemde problemen",
"MB_11.3","MB_11","Biografien van beroemde wiskundigen",
"MB_2","MB_0","Logica en grondslagen",
"MB_2.1","MB_2","Logica",
"MB_2.1.1","MB_2.1","Venn diagrammen",
"MB_2.1.2","MB_2.1","Propositie en predicatenlogica",
"MB_2.1.3","MB_2.1","Bewijsmethoden",
"MB_2.2","MB_2","Verzamelingentheorie",
"MB_2.2.1","MB_2.2","Verzamelingen en bewerkingen",
"MB_2.2.2","MB_2.2","Relaties en functies",
"MB_2.2.2.1","MB_2.2.2","Carthesisch product",
"MB_2.2.2.2","MB_2.2.2","Relaties",
"MB_2.2.2.3","MB_2.2.2","Functies",
"MB_2.2.2.3.1","MB_2.2.2.3","Domein en bereik",
"MB_2.2.2.3.2","MB_2.2.2.3","Grafiek",
"MB_2.2.2.3.3","MB_2.2.2.3","Volledig origineel",
"MB_2.2.2.3.4","MB_2.2.2.3","Inverse",
"MB_2.2.2.3.5","MB_2.2.2.3","Samenstellen van twee functies",
"MB_2.2.2.3.6","MB_2.2.2.3","Reele functies",
"MB_2.2.2.3.6.1","MB_2.2.2.3.6","Bewerkingen",
"MB_2.2.2.3.6.1.1","MB_2.2.2.3.6.1","Optellen en aftrekken",
"MB_2.2.2.3.6.1.2","MB_2.2.2.3.6.1","Vermenigvuldigen",
"MB_2.2.2.3.6.1.3","MB_2.2.2.3.6.1","Delen",
"MB_2.2.2.3.6.2","MB_2.2.2.3.6","Maximum en minimum",
"MB_2.2.3","MB_2.2","Cardinaliteit",
"MB_2.2.4","MB_2.2","Keuzeaxioma",
"MB_2.3","MB_2","Berekenbaarheid en beslisbaarheid",
"MB_2.4","MB_2","Modeltheorie",
"MB_3","MB_0","Algebra en getaltheorie",
"MB_3.1","MB_3","Algebra",
"MB_3.1.1","MB_3.1","Plottechnieken",
"MB_3.1.2","MB_3.1","Algebraische bewerkingen",
"MB_3.1.2.1","MB_3.1.2","Expressies",
"MB_3.1.2.2","MB_3.1.2","Gelijkheid van expressies",
"MB_3.1.2.2.1","MB_3.1.2.2","Vereenvoudigen",
"MB_3.1.2.2.2","MB_3.1.2.2","Haakjes wegwerken",
"MB_3.1.2.2.3","MB_3.1.2.2","Ontbinden in factoren",
